,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
0,4UgL0Vw7HZ_r_vKDr9M8XidYwzsWCKT1e_a3R9jw3CYIVq0,r7jzgA3dV9AYmwhWK59xii2KiDHwyC-_Ylpo12t-Uc9UGF0U1VZlgkCn,NgxbLvPWCIiVcbICvK03pLgVJcRhxCsKVg1HEXmfwUYr-2QD4KYRlW7wSufEzWus_YGL8_aPZyFOsg,apapapslsl,29,1584347196000,38
1,pak7tTObh7QWsWGLNPk8G3bqLQChGel5s4DWAekq0ccgUng,DbVy5K50cZyHOcF7FZATTWB_NORGdkWSbc0_6UPwXr_x9fU,jd6Y3CeVAa5JvUYzjLkAxGNedEGkhlFb89MxpXt5Gnq4YM9YAVaeWVk_YA6NlUt4qS8G1-CltcB9ZA,뽀허니,3872,1584483891000,408
2,Cy8OBh4CMw1HpaIeTmmOPbpMOUn-iYyMC7w8rpgKJJtmurY,uOvrUDvJWtC-Orz4sutqX7v8OZFGovLLlDfpYaLtH9dQxU0,0ULt9Fo_sA2xmZcOIxhMoOt8VyDI3YNFLaH-ZYN_2C_ybF-26pC5rb8fetFL7iyW4GAh4e-7-dj6CA,레 핸,4248,1584401234000,273
3,99lx2rS_zQ1E3HdyZA70iXKm-A8tfu2IWYL1ipwwSo_Asw,gv1XlsVppHi_PUklL919hY7Ef8KA8KsK7HVEyUf88JnI,ad22frVykwDpF4-saHGHQmkvhfCaF03XIeut6-hj3qLWGTLYWmDikrNwpEoLKPoONoEtkbo93evHKQ,압도적인,4363,1584677251000,141
4,VIuPmUf43KoYJ_QvViCjpmU6l7rD9enn2OIc83Dy4ismcGM,UXqKxo8qo03SOLJG3LuprVpSFTbon3GH7Fewr6lpBr1jWjGTsDN38Ae9,YN-vvkJ6b7xKlqeq4WHHN-j0CHD440Li3lJlV7z5ahsevm4XjpYqpUeaEtAcKSQ0ZgLtC_Wg2u_z-A,샌드박스세레니티,6,1584584014000,48
5,ZraFa1kdivM9cYDmubRhA605eW7Vv2vMqTjZ5p6YcC4tyRM,ph-FZLDix1BdoChjDEh5dDVsi58rQk-9VItT994AkoIJWfbPTzGe1fFl,OwrvCJhnKkFET4dfCg3QC-JRuHDDvq8iI8ywy_I_SQW8Hbkz5lXUtVyXsefnlk443z_WLSkTjaCu2w,ELaB HoPung,502,1584006739000,306
6,hgJW3kzvNo4jZ_FSI246W7CX3ufLZ-cQvdeHWwSVzKYdhKk,RY_DGJM3PbsDPkomh23O5cTf8iYCpvQ_1VPnUJqJEUhcdkABh-koaO3w,QtBG-GYDYEoOFbt-5e0VIfMConRsqSaYgGXPCVUyNdtNWfL3TVqns3af-KcVt7K_3d8YGjR2NuZwuA,이현이댜,3839,1584438164000,62
7,99bHocMo0URHP6p-gZ02brzPbBkezxiK3GPOXbJLEcnshGU,7Kv9cH6WP0DclJhlf3zXYuHwpTVMLgiuu4Z8uWckBl4NPGc,B_iLZpzxtVTZDDwx_CupFCwv_1GJKf4Ph3g8ptyiRv_Jpm7F2WURsVwmVFyHfxfVOMBvxzWTU0KiYg,I only top,1296,1584179064000,88
8,biCoUfk_ro9s7SAfT38t8PoenEcP3mLvF2tFKzgH4kgd16I,uaBZfq2jvA0_v9HxeyCDYXrjusjXsBMEKNRvYiSJTYTHGPA,P9Fjsea_ewfUzni3nKtQrtZKoq3G2GbLk-L-V1XVYKV9LNfnc6N55YEyGXMnt-V4X16UanrMiZ1F8w,암살몬,3860,1584499937000,118
9,G0fZ4xeaViIqkLpscicJgfjF01mcZ4kTGDqT94lFlU2j-UE,YgYe9_8kMTyfZEvHgrcCWIYHtMlSH03QssGqVErybmv6Ars,Aqm2LV8UWNFOdesfoKEYhrEN55mpMsYt4qfgUpILr7jMaxGADS_Tir1ULE_0ZKKWUSwptJRegW_nwA,sival warwick,4230,1584280319000,162
10,0UZhzg9H1JNTikvH0KYwTQqoo2ordOmL6Bgu3mMBX-gmUXw,ETG366_UPh5QF5VufxtjVf7gb_PmKSxMRBJC-vD85gxNIVS26ygUKKz8,cY_xNOvUX-klLtOZPU94NlXgLP0wk1fhQlH3yA6eCUWwVKwzxjZOdk0PMFRXqAGi_jsvqulb7CfQyQ,KkOma19,6,1583966807000,151
