,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
0,05ROxCQ5AYxMpYdwQcbEDo5s7u2RodfczSZjNGDyH46G0zc,lDIM0f_c4xZoJ9Jsasxkc8_J9Taaiv9G07v2215lUkdsDHk,WyH76ilZRhkdN4ruOD_bHViETHnTG-W5WsE5yjTtNNM7aYm_FLUb4SjxSpKpnPk6U-lFgoF3juSzXA,내가홍지승,4451,1583891798000,198
1,Bt6W3Uley_RkcVkfOYk9N0rpDxsg2k1cvReCsdQTE4Ooyco,n3UklTmuC79woB8K1lBoFWqhf8yZ-zcCMJmuw6B6-BPm,1QJSYhrgkBIxOJVsW_bTUPQeKSEYatg4r2820k-P75rUEAwP_ikSzstvZZ_m259-XaTW9aGw4M8hXA,위대하신트롤님,543,1584173696000,188
2,JOt8eND1z4rD39Hj1xA9iPCmKhbzXh6OAj444x69TKo6pK0,WQkCMTvEakqm3MhUMuSmXzxgxc9LYtxSdZKZWtXSASNxzOFTyv9I5I9-,rfIKoA9tC4ZwpZoyj_NZvI2qhZOlz6rEL0A0S8kgP0aP0GzrHBvDAO2DnOwt0SNLXrY8V58pYoAYnw,XXXTENATCION,3838,1584562183000,158
3,e9CN9RPOxSwSYlII1_NSWU6tZRg66nqBP4cMkMmHdnC5dA,9jXSs4_ipj6s0PBcTI03ZYikyCn8MoFfG0eqIrFFTXbS,JOhHhyCe6TfrGXPq_EvEyGZqU863C9_3CZB8eY-kC-wNo_8r6xnBnxs3lZfvmwVD6d7SITVqRolvig,Last12,541,1584619058000,175
4,CgyfFGKxnFmM3E7MB_rWhIyrTUFX0hyxqVUPL8tzeAFHHM0,DVwsn4mjR7-55VfRzVR287hv9yxdHiXXJNWfNuEL22K3LDQ,7Zp1aaqEGCU_d1BofP0N7z6y3nJl3PaEve9hrQ_taRi7iJLhqxulLV06AHUUP_aBhVpJv9Y9r9mYTQ,케냐죽돌이,4409,1584696012000,724
5,xrRy270g_wmwk7FD88PNffI9LOUSLJrbERHg0t6Ah40YhA,2Ge4MpfkJtSovngzx-csTzPSu-vz2EzQ68KvSuO8skuu,foFGZNg3ui-jQwoQIcs7_wCW5w6YtRry_Py1q5qXsOa1YH3p25ECH9xMD-5J4eot-Nt5dpC_lxgh8A,Massless,4492,1584349088000,177
6,_wRbLzNboZWhQ_mxlgbwLJFMtgkL0b_igbVaLTpxOnl5tQM,RHJv71dfeglzWginLj9kwUXBN3BQZk8TXp7244PQaNIP0eM,myuPM1lkZb39zyC6sXl9mnHziPGJg6ycjld8her7sUBsvZeNQr_GsSkPlnMHFuMMdMY1wu3MiAguPQ,버찌는내친구,3478,1584618600000,204
7,T_XgvF_JpE7P0kXrmkqLhkcw5imzNNRqT-Hkycd46RTcX2M,xlh7Givikd55k08JC6zZ8fhXg3SzpgJTC88Ko7ni91iom78,s1HdAPx9AcDTxVZ6vA1I3MHRVJZrGWHTLBw7xRJ1ypgs6d6EWvYPrX44OzyvSDmES3yQ3_JfLsHJ3A,연송고존잘남,4031,1584171925000,191
8,mv1jXYCSN-bWou-1tpkVQ4peWRjWHQaT3gF9jSKAAwGV0Q,wdRqaif1HZJPMypcGLEhKsuvcTV9qXtwrcdoJIL11wAl,3OuYXRn3ozGNg3PV8bKEA_CC9skmURL3lxw4RaNb3YEORV3ZIAk8oc0d3yzBu7hs2UNlBzT_woRHug,DreamybellF,3885,1583944666000,131
9,bSmviVo8BvmqIad-ItEZm_3wDWWjlmVzFuM-tsrCUEwHylo,OAs-c3rBBBdYFWTX4jSu_a9Gk-DAAOMdZ2Lnt2k5tOARoUA,CBuWVx_rlPkuDnIoxqtWRwepFtx9r-T7I7_YE2PgY54aHjzYJsYRj3wRy2bPHqQq1yVcVN61alLvoQ,조 들 호,4413,1584590258000,126
