,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
25,m81HabOELUEsfrfT4x4ZiRf2c4gLOJiUPE3xSChJtOt4Bgk,Bt2FTgxMPOSXBZrHHnHc23kl4WllFSztXN45o-idjlVW5SA,zsfjmCkFkG7-m-47pd_r8DCznC1jGLTm0FThHTrG6nwOtmV0JnZZMBZm9s6EnbgVcmXnq2wviipkwQ,3레벨 바텀다이브,4,1584363640000,293
26,T9oedftXfd6EnINes9IKbui73lfbFK4L5-ty9ANVt1-CGdY,_ZnYZLsjajc33m9hHhUFvDbWDbH5nRsRaAZ1GeHaMTrcZSU,aQ6vMh_m9U8AvHlYijFKjMdciIrUikGyDYSfhlfReQ_jFGWI6LaFXjajAo28HthG_ZdQS8-FAv7UZA,어나더 혜지 fan,4492,1584171865000,109
27,Q-QKKUDX_rZUFTpX3owj_ffEr08XQCJvmw4YjtAtXkxVuCs,UqaDz35cCaZBop6LxdZV4igatqP0DUa2ogfkhKIae7XHk8o,Is0elHEQMec7LZ3_S8ufcOCeX66t6BCDEFUyf7pUxP3B1Atmro-EnVUMXqDyGfDjCiRai4iZ11vvPQ,Gen G Ruler,4490,1584685969000,371
28,xIsn-5Cf8kWT5UoOsvMe9Lu9vEjx_W8hJmjb8PMkelmLyXo,NRP3CVUPIFlbf3enRNvsHiyOETRn2_QUm4m8dxDiO12HpZi2X6OC1rnZ,t05k9YcR2nLeK4ztR3YsXezyafWdBbp2x0kA_Wo48sgOVgr93ocw3CjLxHEf1Jan968duhzHbFKCVA,실수쟁이,9,1584233548000,72
29,vdWrM2dbHvmv2Ya0547gL1bmKTafPJA8iRTFuPQZ9KJsD24,Et289n_R4MUzrC2qElS9ATA1TgJseIxiWsTg7RIZChrJcS0,FRVxAoJnBUNu1izYrc_H55HHF0xKTA_92tFDAy2B8iazAu2ik0du95WUA81rLzyTbQ4VDtER_5mQYw,가루눈 OwO,4418,1584447657000,132
30,AS00Irtkv_cclV6O3RWKC3UlYwpsHKAm80OYWMqA0cEFfm0,nYgw8LsuuFf4C-FSmt1pY89j2N0u419LoIKeRhG0ZGY3hqk,t8j4hBv3pcbrwcHdqXSOUaZMxkglIuaFXE3j_UHVJOVNaUMA72-3Uklm_vPxuZ9ohF4z2CO806hu0A,T1 Gumayusi,7,1584176629000,194
31,xNYnPV6JNwSdZ3uw-RIFSJ3rDc6DfW48eQCCLMVqvqpplj8,5mUc4kkp1q0dPp3iHU95qdr6f_BULZY9cOahP-GCASdMzwDdH439bOsO,fd0tfEbWwnW9zjyWnuO0E1wt2vI27g7u6oTpIowZ4jBvo6VDV9CoknPKcC8igcEWQjZvHvc28qEnrA,LNCL,1455,1583836788000,357
32,cKZCMPMnsb6phJoSgqk6-Bb0HLMiUqqJYafenCzBAhlpjQs,XFBsm4RWGgSApTTcfU2QB5tORxoCNF63rnd3OXjiP-vYhSz3Cuw-1luS,l5w3O5EUrQrS7lwyc6bFuQl7L86sUfkANHxAdYWrdVV7aRtc-oNnDxfq5d4-aLqn1SzOEsavhbFTIw,dudududui,3839,1582622693000,160
33,nvBJ-172Ib8fSjajD17z09ovQfQqaaDpL3sCQmWy1QJl-KY,oe5oX0rlA7e0PrKB6SkY-92POmLxjj1m2fORuQrWM2eVqV_S0_1_c3ld,TO2mh1goI2h_P1WDO6vjttV0THCJQo6C8jQZCznhtziXAx8oAgvnn705_J1In6h8lxwgW57EChTPcw,win very hard,4025,1584262493000,69
34,kuPE4Au3L2qsdvv4XOdbJK_RsIvE8U5l8_PYAj3Vz7dl9A,SOwPBQ2reDGDk1TugPMw1Llb8CRANaCGtaiLD0a-9H4F,CL76Q_4kPIXkkvPzob-osXoKHNNkFefZy7C6LQz_ZkGhtvlM5SoVqN0sDxXmer3aEvLOd9EVK9Rkqg,이상호의기운,3879,1584670117000,220
35,ak_pKlCq_vsGMNwLPUi2vx6Z-371k2eqtSrjpZK0qXLM8RA,gT6vv-WWIZNRxHypp_nhRPtpsn06IfSFHatvKv6llYH_Fk4,1a6eh4fqxAK6y9HiROODPAK7rYZobTZiNziXq8Yg26iZm35j8mcxE1uccA-o-uygy6jYJajq_a-1Bg,내가잘했네,9,1584443059000,162
36,0OpLlm7A0Khzd7zUV0PSvC269XjcQXiBIbns6eQHhWiVHpM,CnM53_Qr4r3PhA_ncYFgbHuon-9uXmb2fidpSg0RFpFglLQ,AadAQN8UUYv_jbn6WQM4_2YZFl8GfpFIYNNiJSw8kwXIaUPKV_eMV4nHeTNt1eyfIbF6QzS3qgt9SA,한 줌의 재가되어,939,1584349852000,285
37,jG6O8kOaZbHQsr0uy5jpwpl_2fp1q6mSSf1jAiLK6V6TbdA,KfR0gJAI3TZgHuHx7JKZAFK0l9tuaFQAwAQRCJ6-Im2VJV-iYVFKzKV2,8mJRwTIi3XIQCpLkP_IfKi4tEyPb6gACKcFNLLOa02IkOHQD_ikee09JcoQ8IMNAwUrYHEvNlN8Byg,gtqeti334,29,1584349814000,40
38,3zVYW5RLeuW3iBGeTusngNpTBPxEaLwbP_cDVHV0zfd5qx4,wHawVC1rRz4pFRZtUA6n0cRHDnLw9_yV4E_k3YHtL7H2PAQ,Vgu1Q92GSc-2an02vVLNu0twCryPIm_XAIaDLM7Q-iOedpkV8Dj34M9jq41TCIuIhmXs1NSeAENDJQ,HLE Bmav,4449,1584673135000,153
39,hRt6f6spzMg86JY_hQeYDG-UrppxIRsgR0iBvbJuXQ_3fzg,uJVWjd3Cn_Z2f1a8UQldvadJPV54VT5wH6vtA74GzwrKDMfW0pW5G5HV,IB2oZpqV2YIfoaiy0GG5Kj-1y9CuHt6OR-2hwo1K1ay6wmDyuw7b1y-z4W36GxHlb0Yn60xOxCDMMg,hhjy,4491,1584071738000,93
40,RkCeYB93LEW4MQ-E0KoIAZFn_FloMEjnMX26zRwflyZM87I,Dh3eerAuwfj17saGruzGXPdv2PFNwtVS7PzTxBXn4ZrJfjI,_QR5-Xvwz_fBzE1awQSDK1V_FjOsD-_9QoRapTQGeFJoMxFjw9ziMUCe5zpXMohhbij2WijUdKehZA,불질러,1458,1584603933000,253
41,qvDVcI3dD1R6TFfDAGXk5_epQrOBgeccUtMFSItZvDHkeuA,eovrZzuz8ch9CdH8vY60uddQbmdf7LOmQqQEWAIb-BELPNY,XzWf6H6zxqRkVVUiqjdT5RPu_v2ekKftD-u5vMyX7phM3X1Ao7-2cNP3LIQgxdDwc2jehPn3WhaNqQ,Gen G Bonnie,28,1584700074000,490
42,UJU_sBMkirXFr9jgP-_G3q7byr63VrpcTsLkmi97gsxTzZE,F3LaTWrnjqnUpBDHDfU9dFxN5q5iaGj-dtJ_uijATKmIlqk,1mdw5y5w26UnPsG_FIJrHtcxkYKYJ-rc-pLFqT4-nXnp8B2bz0ZCzI7tY8tzBH1z2BQ4rmfTaQxynQ,See u AG,1603,1584607462000,184
43,1ev8577lh_vDIFyStxgl-mzIC7otgXUMG0zsDfVULfwlB94,jmH-c53NqSzA3V5LqznnQuDFS--wPmIUlHO1COfX39cXvNA,aSXoN3e3HNgRVX-MT6Sxbk056AylTROGf_nHdYj7_sWZOP6xXy7UMzTtWuDRNqDhAQqVRidDUVsaqQ,골목대장 태훈이,4249,1584070203000,88
44,dxaMM5K3raedu-5tD3Mu6Ohq_crXBNFupAmfGbnRJG5vFfM,VZQzP57soIssc_sQ-1fgVvVQ9nzDNbLWMHxsTlaaVSTgBWmfx9-ni02I,KMJg-ZAKXiO2vWZuu3_HrH2UnCnZqmS4NBJXSgd4iADkImZCQgR5UeMRVCZYv_i1i8X6CMAXGlqO9A,0 gank jug,2075,1584679294000,82
45,tL91eIOOiS7c4Rw-p8fQUY4qht2sCumwDGMHt5mFMHzmzDw,0TwnSOm1gcuFhOpq-KxLpuEFiVcbOQDpnOW7GiOsqk1t,UsN4pIpF4XKS4f_cnO07yaK3apPEOqGOxhx_E6RK4hDwn1ksZe7bheeHcbF8oNi_gCwf2HU-KRuLWw,배려 양보 규칙,3008,1584180745000,287
46,zmZ1fk80hNfMDYiMKukZLsSP-dioTLyFJDiF68q-KXQPJCQ,zRfVqyovmybZM2EFv6Z09oFq1_zwib3CAw_rYba6633pKVk,nnIQ4LzPf_7mQbeBeb4cVFQtxdOT3C2M3pD6UD39YpQWzh1Pm6QmrILhbkVXVGjWqmjnGGglpu8BHw,Fles Evitaerc,4400,1584661386000,461
47,K-Ett_rK24OSTNJIfRMYEl2c59GIreESjYvP_PQ9K5mv_Q,8VmOQI24YJT8UcWNS1LtaaZTT29HwQJ1pTc0HHrl_tjP,Hsrrggt2q-oa5LAMStoXOb1YWcQgv_glSXXv8-MLNbzePXZnFBpiP0b00_NLhRbp8Z-HqoL_25L8Ug,Swordart777,1116,1582964344000,155
48,RFcw9-lzQ7M51cXEAMWH4U8FZF93dbq1hfODO0-Uymt5-H8,TMFvJrYQJcObZ8j_kFLQNGzxaUp14X0iHURVVkT_IeNHvS0,IzF5HAtc2laejlyZVUB2VTTXaykIEQckYjWaEETSlIZvWGDlAkbGGPbr6Cwv3JmqEwKUP9o5f0zW-A,여창동입니다,4491,1584445646000,53
49,BjxGU1kWhjskrag6rV_XRamtHJyt5wCLQ5Olnkzq15Hhzk4,I79lTJy6AokoCYrvW2_0hQbPySpDnFDKazeTbbUvl2_u0MY,gEBEkUYKkhC4KlEpJu8La7QmndN6iyK2Bv2pkbSpDICfUavGSLZEbe7_QeeyU9lkU-Ui2qo6Mp_73w,튀자튀자아,20,1584357589000,255
50,vjKPj0RGsx-N70dWTvRmw_AMuET39lklsv703lHZCKopRNk,SXzARqg_j9Qm4XnmKUTYhQYZdTtcbyOonJOd6xlU-31G7Rk,vf3qRFtLo8kLKQ0hgJrWZdRu-x6eUFhnkCFrAyP7ibnyhW80NY97Jw6wwSEH3d55enPlpOhxncDVVg,Zenit,552,1584100933000,228
51,tMK6x3njYERklUkdjyjfdKh3tHR3v08Ml8JnVlpYo6bIuto,jzG3YE0roz0ElommCSZ4iwjevvWMyJUpZevkqwjZZ25c6BBDJEE-wFT7,m9kRwNfZGCz7P9ELiSnmT8mduXHmkXFjvCi35JM7Qhiv3jVrbCCA6jOdJ3yY7K_spsd0uv9IE289Lw,ggggff,29,1584437749000,51
52,qLk-NubF9LO-CFxGFrPmag8OIvFyu7Qbef53M5sOniCTjr8,3PYWRzKUabj_8zFPaeChMphlv6iGrWBBFqRjTLtwGYQJ6XLEW9PFafxN,wAJ3xI9at-TMG13xQETHYLnWyf-vdqQuPrR7XGhYCVs3x3XB_J8EBFglfg9eortFnOO2x44KrxCLMA,9Revir,4,1584013902000,95
53,D2itCI6b1HtxCD4x2_JZdHs_Yt2DD5KcsrJexqyjbwZd504,4xv8au-lY8EbbjsxDIPbxzC55YUSdluFTO1nYzrtRZDfpXY,hgp0Rl8QrXQIjlYuPnfIgHdgDRgA5Zq6zo9EzGksMpdB3sdymD1qbc4xjnMVhMdVInv4LK-lBhH1Ng,김마베,4027,1584713530000,439
54,3jAC-pfpAzwNvRw2Gi3qBRnON-Cqf6jiP0iXUcmVqCVgvx0,DbedZbq0Gc5Wq3AqTimeC3M0zVB1EhkQkeoLJMPIBvntDDXbnSTZiHBX,AxRB8bTxG6gZlYgOcGeSZv4jq5uFytaDsDKjILJe6JGhxOxd43lUaVhYU6RefTcjWEk-dLYTxchyaQ,me1duiyou,4495,1584613827000,55
55,9wUMViRVD_AxbNym-rQ0o7ccAEZ0COvS3rSeR-YlnfW5UQ,4sjKEJsB9ukr_rQ42mpwtVa1OcP6wtOgsdVjE19hmNto,hh8J91Ez_i00_ah7ZulgskLXBYj8xYvS2WFSV0k6pmXbiZh44Lqyj06HXlCL68OQoVLSuCKOrt_AZQ,못먹겟어삼각김밥,4414,1584361337000,268
56,ZMCCE1GSMyeYAxVh0KAea3JE7ZC1YIaW6Z3tjli0_VZZVRg,I3qZDoh0oBjGPrKYVW0tNX9qZkmFqodStWPdvBuOF1JdW0A,q8cUgwLjkBwRRr4zAOW9wywR-Ja78v3qN9R45r0Ros2HmxceavJ1tv-RoI9NqgZAElKEXoG0Vwn4xA,M1nit,3150,1584014696000,201
57,EuEuWo_qZzWJzPQj4feUPRIXB4ahRWgTPQHQNBlZr8M-UVo,AENsnZS7Ejf_0YeXlLc_7zWx_9xcRSDPPZdHGL6k-48NIJs,1ScIQOSHPI5YafuzjHZY23WA-gPZV9LeNtyorzYjI5xDkGAe-kZdAPOug2RNqfhhpwOmZlUI-AxqWA,내목숨은아이어에,937,1581994516000,346
58,SitBo0ZZ_ayHpBR_jUgLGPQQqHEZlinwPDBBrPxLQj1uMuQ,Pj-3bgvsXGFv8yTassWeDvwUZyzVTN7GaH9FdNu74DlmwCmbDCyyHV-5,pVNIukqU7yTFLxOfXR0XgsKX5sQOXCsFlDJjMwHEsxAtwOAQaPAJCQSjpnw57zqDhK9QqOatXoGspA,LPL Player,29,1583826796000,58
59,C9wSFXiVU0CxA-wJ0q5of14IYz0-MTChzbojYYSNOkhwM6I,r8wn9SVFEGIAIrrESk9mn3r07w9u-TLRm3RudWG0eKJQNI4,mPhtgp2-OF2UIOvCFffzxmihQvRDfM5kxwVKBUwgHU0Otum8vo5jVw3Vi5OWcK_gXufCvczuGRe8Rg,롤오브레전드1234,20,1584528269000,249
60,Il0McctMEOY3Cv0w4kDr4D27kuoCAp8UIsRCqhY6q1rCkoI,4Wqz1ZoZL_qqb_ZUlTZ6wZnUI7lmw8pWAim14qfDumS7U9Y9yxymbRPR,sEQhhyyghE2o2XiuathA56N79hpmHzkDdU_iZh1r1Ue76DSu-EQTyq7J4b4MlPaUibuNsiiDYQximw,AF Na Kyung,4491,1584609848000,221
61,GFgyCCJInCBcSMgTaR-NFKjokTGIKevpgg2X7tQ-Z-TLJw,niJVDtvcSwtmxTW8oBOYdokl5ZjjFBx6ESQW5oEwczv4,VVEUJZ9mKJJoLH59uHoIgMElGU2V1kv-4w3HdsU14yCc3zJIj0c27QEpDQv1UdyUPLe36o7i5rbtdQ,SANDBOX KingKong,3867,1584230803000,210
62,7YiOaIexW8POUmw4JalmmwW7s-Qun_mP_FyIQSCLc9vsJ_M,bkS_Oaqtb53L0evLDWLPGCVKODZmbiqiuW9afeJrHU_9DIhfE5u9O9AX,xCOC8aRwLxnLITCmExv3FRT3hBvrdvCuYRRQ0Y4wd7s7E6QAefpyiD3GJ6gI4xep270Mod8vCYGY9A,바위게 두마리,4154,1584632257000,229
63,37qyDVtZ1p5a6dD3ecYZvGUSAg-cmNRg__ZNzld3Coe2OGo,sZvIpBOccuZjXs2Bzsy2DH_WwACaAdUo1rQbJ9D8YwOISTzfKM_LoMCL,KThpAfpDNOtuFKA9W62uUqkiqEyntILdofH4yp19NyhbeaTzkC_imFn4u-AkhXJFDS70_YON2RQnrg,울부짖는마오카이,23,1584446133000,142
64,_PMQTC7wQjjfapC4CfyAgYZWQmsptADqEnP2x-CDYWOpYqg,flap4nnqL1PpRSJ41Kv4c-OXEtaO6X0GHgjo10nAGmbKrHCy1VJwwybJ,E5kWgYUfQz6ujzt0dUdfimP2ESK3FSPxuq-wJVqLJr9C5rC8FNeGQSyIobdm_gTQibPYlbIMZ3DDWQ,려창동입니다,7,1584184340000,50
65,EobozbDloWkjJR1MB3oyLMLXv_Qt3HLIZVJA8qcqSynjdBo,nwmKPTI6BxKw2a6T8PrTwNMp4R74zbidyuO19rAEM2CqpWzL6tpVpCMO,B7CbPGrGkRcBvMmfydRyxWZztGgfkD6-aQUfAv0uCDqLter_MaSbkD2Gf2gO9zXgOtiojitw-TK8EQ,want home1,10,1584157534000,250
66,hIcHuTC8jo-o8aVrHLruYDd_LMjqrQAtAPrU80O6FrK7eIE,pwxp654q3V1rFy9kLUUkSfxCyfD6IkA-Qi3pS9-3tmUGqIs,7PKLKoIqb5DXsOu4qGgNjcXuZ8vhZSnHAjDRR0aXPhvDp6kXGDbBBsbId3UVunW331uHGrOXJCaasg,Cai Qi,6,1584598863000,170
67,U7TcaC-o2Lc0NDoKo5d9VWRh18zn51XXvr1X_3GrZ0A8dQ,HwaUovT-esgDGD3aX2a-jTfVNXX2kXWiEfE8Vb1Arutd,E1X4-YaEAhzk7fY9UT69YYi3rUoXDpPoPLQQcdT5l_nxmfS-rEz0TkMFzjZaZF7aefZqUynr2J_2vg,않으려면미쳐야해,3799,1584616312000,400
68,K1wiWyunOPfr1AybbwcqzI39M9LcyJ1grP_wiTM1iQQkssM,kzdOizZTrm7yJwZ35NiZkAHHqThEpFN0T2JFreOog5q8vp89LxYnevMB,STKidhTmrFeSSAwtNQszHQTFnqN37ij2cGuJN5u0-BDPQZFTMyhG8UYV5JAsWbSdz1lEG-xNg8Dz4A,mogubaby,4154,1584518467000,43
69,Q2G7mE2L9MpYpz0BEaxCaNxSD_LoZUV402CWipmeH1o1kQ,jgTgaiLnzwLgvaL1QQYYQxTTBon8KTt3m872v3ibyj0,j5brG5Mz6NiotD8KvRatk01zw-q4wHakimKTDFUWEjH5d_d0ipYgb3GOpi79MruLGJhrgPkjrLHiCw,AlvinG0,1114,1584416714000,200
70,gehMo16LnL76t83AfeznoGQR1gZGRVomW6w04zIgi9dsiT8,hZ5K88UWzzkwhCKaR1f6dNVhhXReuH22ePb7BnoOV656TVU,qt1prr_nLrZshSipYf68wPNNUuIP3on7Hs_j4cxpI116V60OUY6UVhq3EM-tIK6jKjmPYh-Y8KVAiA,T1 Ellim,3836,1584333856000,178
71,0XHt4brGV9HKEjgW1MQQcv9DWYlCjbKvhwF0zEZYaIloeLw,ZcTSc-80ImsQtUz9uCTMJzcsdXA39jphcKGnGl0SC5BvLpDy1l5oyGOW,bclEN245s4TVhup0iHr2FegsHwJGpnuhHfsWGSu_az-ip7DN2RXKOJx88hMBEZdjs9LHo6YvdcyEqQ,ad202,29,1582881262000,56
72,x1f0WZHF1oZiObQb0n0J4D2kEDLk_DbAHsqRdldph0W0KG0,6puXRvsaAXJS5LHUZxtyYt7EQClxioUH6PxvPbPSyPFcOG19dIYOBDaA,5bqG6jsWTk8qD_ByuWGUXcx-i4y_5YFpE0GQ28IjqzDoa6A0NYQsyJLcvytlznQCTLFDHW7_xTPKcg,HLE CaD,4247,1584598296000,190
