,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
0,nQaRMPRX-EKeSj0_1N4NRz9H6WEMWlW9u7659pHzOzTBx3w,3v5uqujxH7LORDFalbRiCj4Xkv22_H0EhsGG4JNbqKfw,PCxWJATcRrR1YgGZG2tTuI9J3T8vpdlNSKBh5HWeIx1D-umX7vVkxth_h0jlbmsk2g_L2K6w9v5fHg,패 둔,539,1584759130000,81
1,jcQ9qp7quwJYUmZQcui2ktc6In1iNcXisJvHznHDr4QyIiI,L5GuO2RfZb1z5A_2h4UoLFfvml_fbgFlcgR_gm6DoTlC,ygmsGkUNYKSDSBcPLphHcbZQZvgC8oVdl0MyIbBe54imbcwMKVM4rjFvNKQVkM6SxqlvIP6h3I7PxQ,현상공,4492,1585222201000,144
2,KBga8ODWtbwfpez9ZQ-YkVoUL_eeXRayAcuhw65WCBgJ7ic,767PZuhH8KVXzIgxgq9n0_v0jU904HdIp38mB8oOodP6,oOJk21yiI6jvoOyOJ3glhr97klhBpJmMN75U0nYFYjNlF0IzwimdS_E4PjOy4pHzmPuv1oe16xdWYQ,서 연 준,3006,1585055860000,164
3,aMCRqTgUyRbVJ1BHbJt5w_cOkQ9aJbu1YcuupPI4J8pnX7E,32_dPLlbNyb2c5LMaiVJ8CIPmBGZiJTVsCHHHp4akgkS,dV_HeimpE6zjzTebAvmxBmJrNZXB1xe2u7pWv2lbAZu2ilzpoL0e1E9QE0jwzJykpbCYIQ3K1JlLEA,치즈볼s,3180,1584654701000,176
4,gRWTlvJy4axE5X8mjBBzS5gBDPgOl5f7c69NexrERKra3AM,kRVI4U4wj9tB_FJhc6J8KTwRhfxsb7iL2Pbmq0I-ornl,BC8eZIP-nLxzqk97Hb0pq2F0G_534oKxfnenv62ibKZaZkqoroi2-uoHVHB35RtshZFYGx-B-S1zbA,팀운저주걸린사람,3777,1585271642000,412
5,RHJmJ7dJZTH2FL2zqt_X-1_Au2AF_VSqD6sq2UswTck8e0U,jZm5inDv8SGj23wgX85CdSiYdVEuaNCMty2-C6-IMyYr,yEMaBUCu1K4TvFgnmJi0s1l1YWcbb8I7keJmGJqkVtvA1XetYW7PHa9QIVy1PKAXdT2OiUicNx3a4Q,바이온사마,603,1585271001000,155
6,8Jk3Sg0ktnyGFjpjhGMxogAv7VIQXOyKMWT68guNzHMCUUk,O4KSdyLo9hSItCG1dSSY7IXCZSJx8qLzF6e-WuM2XOx_,AdYqHHAyxN5qP1vPa3ly4vw3eyyffA8iMYoB5erAG6blFbm4PWPTFBwehYrwk5HiJB3VCQme09P62g,뚜 딴,4100,1585214144000,287
7,ayZCBBlgQLT2xlq7oXXbGBUgrYRwRdtYm7EacAx-Zi7Z_5Y,9CCwCzMVX-1f-SNUDNtqwKqJMvVzhyhfbGSVI65MZ7G6,SQs0ART4w3RboRHXKf1U841bjiomCMNf06x8jtbTuefo2oYyzY3yrluHTNU5I30oSNHBaXe4ZFu9aw,울집강아지는제니,4490,1585218688000,221
8,z4ddMhn58ZuyRMXWWzl1obYJIusoGDEMrifJAIjs5CZ2VOI,ENT9cxmee6P_dvWcCBwHZYBqu5qQ2KvyddczKfKPtn9T,vicfjvyuQXYLU0IcKN0n4rP2-Ky3SEgkImX5_SyDbqEe97eqgfid4Gz-gKQCso6Bp6dm2opnSOSg7A,입 뻐,4072,1585041940000,239
9,k5OCk6UAw_9XdY9N4tlCFlQ8jwn5QJHfYU03EfgIV2umlMs,wK9eKUB8fNUS52tTsaSZ13Vr4yknqqOSdATG5SsTap86,YwkbqaaUqdSkoVOuWOJtCROhl_lAzFJ42PXz7beGI_LNg8jGEVS-z7f89fw22G-CvDgdPcn8pn9hbA,Ulsan Sup,3378,1585274411000,382
