,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,65f2fcc5-0543-4d33-bddf-3dc1bf2a025e,RANKED_SOLO_5x5,DIAMOND,II,13GP5VWnS6pK_YxIHN815iBkuqh7jTjre0WRmlbnypxlQ2Q,piyaaaa,20,232,241,False,False,False,False,
1,fc80588f-e803-4312-b69a-6f10aaa69967,RANKED_SOLO_5x5,DIAMOND,II,SAnqTQHtjTEeEOHRErgq9fnoKXkq2DoqnpUiav5mENaNCMg,부처멘탈이로다,12,114,66,False,False,False,False,
2,4bc2384f-b8c2-4cff-97d6-648b669001bb,RANKED_SOLO_5x5,DIAMOND,II,nho1jdNABUUgeNykvgWvsBUoZn5CfctS7xceB1AxtCRPPPQ,Mystic fan,53,63,55,False,False,False,False,
3,e43d81cb-5b79-47e9-93f8-3749cd73ac79,RANKED_SOLO_5x5,DIAMOND,II,VtTHA3HNPO8dWcMAYGG3tYM68AXV7B6KduTLIa5v0LRSrB4,Code Hoon3,3,86,81,False,False,False,False,
4,f81d90e7-8d51-40b1-b1c5-3a9e3ce0bb87,RANKED_SOLO_5x5,DIAMOND,II,-jACnLndtY3V0pqb6ihP2VDJ_QhEoWCLdxo6v2_CFLf-1SQ,하남사는재훈이 ,62,91,63,False,False,False,True,
5,a2c15676-f33e-41e3-8734-dc68595128b0,RANKED_SOLO_5x5,DIAMOND,II,mXheV-rEJfzDzzlVpekvzo6OME5bYRGHdvZkH1ZL9winxU0,종토리,61,103,107,False,False,False,False,
6,17707a14-da7a-4af1-b3a5-3b1f8b2fa52a,RANKED_SOLO_5x5,DIAMOND,II,HxUFNQFvbcbFiM_yE2YSPzciSQdUNVBfLYlF6mBj4ldRd3s,츄르주면붙어줌,0,471,461,False,False,False,False,
7,1e70ebc5-998b-4332-976a-6f0611962a27,RANKED_SOLO_5x5,DIAMOND,II,CLBwhOTP1DSE4z1ktJsGZ7ZNZXZQZyWFmM-rk6Mllk-cwZY,아가씨와 밤,70,74,45,False,False,False,False,
8,1f10eb6c-1094-435f-93a7-886f7f10ccb5,RANKED_SOLO_5x5,DIAMOND,II,P8Aw7zwuSvUq_Oj0IItlUK58CSkpa0nthz4nvEfyCbDYNZ0,융태야,28,132,130,False,False,False,False,
9,d9097ffb-7f90-4c8f-b322-882534450d75,RANKED_SOLO_5x5,DIAMOND,II,ntuSEhj5pPFut3dpNzdMtE4vIyzK2xfLHUdMUdgG-BnkxSM,보고싶다 너무,0,42,23,False,False,False,True,
10,a2c15676-f33e-41e3-8734-dc68595128b0,RANKED_SOLO_5x5,DIAMOND,II,Ur5vcu7jtxxZHIDs8yPTyBEXd5l3YUMaiIH_t6il3f_Kqro,Crazy Gom,54,218,206,False,False,False,False,
11,1fb621c3-b855-44c9-9efb-bd2c5a36e2ae,RANKED_SOLO_5x5,DIAMOND,II,lSex3ZuiSkJuvM8rIdgcmYgDes75Mb-Tszosqv9OTMC_Mxc,왜 why,0,241,239,False,False,False,False,
12,ad36a460-e28e-4575-8859-e7a988118f14,RANKED_SOLO_5x5,DIAMOND,II,0r6VsG-P34b_uJq63_Z09rr3mkOlxtqZOdqatSrKv6Hxv9g,배려심이 부족한,29,67,61,False,False,False,False,
13,9bdd2ae5-4db4-4cb4-bf51-bc17b608432f,RANKED_SOLO_5x5,DIAMOND,II,kCP0wqBpVkLa74WAG_MyD7R1cObsaM50kc9f_MBpj9fUDL0,니티카,0,238,209,False,False,False,True,
14,fdff47a4-3006-4e74-b13f-7ec6c5d57709,RANKED_SOLO_5x5,DIAMOND,II,bf_Y_CNonYcmT6pH1_dSxPawiMKzvEKsjGMZXBsE4StdU58,화이팅 우리팀,0,100,65,False,False,False,False,
15,4c1c2da7-4ad0-482d-a492-769e4a8cf9ee,RANKED_SOLO_5x5,DIAMOND,II,NmQBCoCuudY2I6Pd6b4fWNjeTKnSzqLJbcXSWppgPcpeh1o,mid퀸,0,89,80,False,False,False,False,
16,0af3e117-4756-45c5-8205-9a6464531566,RANKED_SOLO_5x5,DIAMOND,II,1OaiaDFvvbANgn7wyw2UGpQxPp6U331ovJU-5zN8iMQzSjQ,오드 보이,0,9,7,False,False,True,False,
17,aa091b6c-4f4f-416a-bcaf-b28d5ec2e352,RANKED_SOLO_5x5,DIAMOND,II,B4nfpMk-MOdergBVqDasjHYav-SIXLlgDx9NMmFY_6JGG3Y,proteins,60,61,58,False,False,False,False,
18,8f1fceb4-fd39-45eb-a277-2cc6ba621f6a,RANKED_SOLO_5x5,DIAMOND,II,a1axIOX5LDnkmcdbG9DNUEQFO2OsGMmmlhbNehRnag9pASY,걍사는거야,21,62,56,False,False,False,False,
19,9ad5e304-4e47-47d4-b09c-22a87f914fb1,RANKED_SOLO_5x5,DIAMOND,II,bl3PyNysPjAx5XJkax--X7x1jxEezk6mBrPoQNXwIpyL9qc,하향된 페이커,50,284,291,False,False,False,False,
20,a6799108-9228-4f6c-819e-8e22fad85ec8,RANKED_SOLO_5x5,DIAMOND,II,rlCUo2PCENWv9fVA6Wb39JKJW-26UrTWjE-A47FM8VOHvnU,대구교대 서포터,75,35,38,False,False,False,False,
21,adc3d5df-6d1a-4a23-8ac9-1b072bc938fa,RANKED_SOLO_5x5,DIAMOND,II,11LrL_TMyNS_R56-n2symcWrE7OKyJBYHbbxqBgp8SFw1_o,강 화 도 구,0,151,121,False,False,False,False,
22,b1c6a61e-5707-4e50-b6f5-218326344b14,RANKED_SOLO_5x5,DIAMOND,II,jReovEPvkGAGy4h8HMXR6ZumPF3kZRsJzwUTEwAA9yJ4TLU,해병1228기 ,28,85,71,False,False,False,False,
23,5204fe95-e5a0-4dc3-b52e-e96b9d550107,RANKED_SOLO_5x5,DIAMOND,II,fhkXV-TpvBBIiR35Xrh-ltz1edNRf8yUFec_MD2N7WMogpw,Babe18,61,61,63,False,False,False,False,
24,57e0db15-d597-439c-a555-8132feb476fc,RANKED_SOLO_5x5,DIAMOND,II,JGYq-4ZECSHT3dmFvk8XseebfskEyQ8PuTitn9rY7crMmaE,1002 02,23,19,27,False,False,False,False,
25,a2c15676-f33e-41e3-8734-dc68595128b0,RANKED_SOLO_5x5,DIAMOND,II,3elTUmsxYulA4eAQZABSmYAvh-Zkd1jnMkt-_8HBNG29t2s,고치 음파 삼조격,20,162,175,False,False,False,False,
26,4831dd95-45e6-4778-a57c-bdef80fb5225,RANKED_SOLO_5x5,DIAMOND,II,-CCkD1Vp_8iS6FQ4NXnh0Lcl9ztntOMjHRWOkJl4pUMJCWQ,개쓰레기 피지컬,35,81,71,False,False,False,False,
27,72e0f10e-8e40-4532-bf23-df33f4a4f50d,RANKED_SOLO_5x5,DIAMOND,II,wwPSrErzYSChMvYinAd5EfF078PbFhsTbTerNSfNgUaDGpA,내 서,0,59,50,False,False,False,False,
28,87fb2ec2-412d-4c48-857e-8f76dfab3da9,RANKED_SOLO_5x5,DIAMOND,II,hI9xCMR-ckPhg2RUbpEaqpRC7LLa6i4LT-GryAaJh-yWseA,얼 진,73,38,24,False,False,False,False,
