,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,8ea4287b-4fb0-4d0c-b2bf-14f22fdb0cf7,RANKED_SOLO_5x5,DIAMOND,I,nQaRMPRX-EKeSj0_1N4NRz9H6WEMWlW9u7659pHzOzTBx3w,패 둔,60,140,100,False,False,True,False,
1,220d45fa-434e-4d93-b645-6f4d8d9dcce9,RANKED_SOLO_5x5,DIAMOND,I,jcQ9qp7quwJYUmZQcui2ktc6In1iNcXisJvHznHDr4QyIiI,현상공,0,45,30,False,False,False,True,
2,693b5d89-e1b1-4a18-a069-bc03849924e0,RANKED_SOLO_5x5,DIAMOND,I,KBga8ODWtbwfpez9ZQ-YkVoUL_eeXRayAcuhw65WCBgJ7ic,서 연 준,0,101,79,False,False,False,False,
3,e1b62197-9c55-469a-9646-a06bcea11431,RANKED_SOLO_5x5,DIAMOND,I,aMCRqTgUyRbVJ1BHbJt5w_cOkQ9aJbu1YcuupPI4J8pnX7E,치즈볼s,20,62,63,False,False,False,False,
4,dc304d9e-33e3-4bed-b5ef-2f99a8396c0a,RANKED_SOLO_5x5,DIAMOND,I,gRWTlvJy4axE5X8mjBBzS5gBDPgOl5f7c69NexrERKra3AM,팀운저주걸린사람,14,232,237,True,False,False,False,
5,6287ed19-37f2-4df7-b2bb-49820216ebca,RANKED_SOLO_5x5,DIAMOND,I,RHJmJ7dJZTH2FL2zqt_X-1_Au2AF_VSqD6sq2UswTck8e0U,바이온사마,24,31,25,False,False,False,False,
6,590d8883-ee3a-495a-a1b3-fe83b540a7b1,RANKED_SOLO_5x5,DIAMOND,I,8Jk3Sg0ktnyGFjpjhGMxogAv7VIQXOyKMWT68guNzHMCUUk,뚜 딴,14,186,181,False,False,False,True,
7,e1b62197-9c55-469a-9646-a06bcea11431,RANKED_SOLO_5x5,DIAMOND,I,ayZCBBlgQLT2xlq7oXXbGBUgrYRwRdtYm7EacAx-Zi7Z_5Y,울집강아지는제니,22,33,19,False,False,False,False,
8,37973505-df45-4a85-8187-32660a5002f6,RANKED_SOLO_5x5,DIAMOND,I,z4ddMhn58ZuyRMXWWzl1obYJIusoGDEMrifJAIjs5CZ2VOI,입 뻐,12,232,214,False,False,False,False,
9,cd3662ce-e4d4-46fb-963d-bb4c682a5b7b,RANKED_SOLO_5x5,DIAMOND,I,k5OCk6UAw_9XdY9N4tlCFlQ8jwn5QJHfYU03EfgIV2umlMs,Ulsan Sup,0,120,109,False,False,False,True,
