,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
0,a5adRIQDuPLjFS-j-hC7-8UT1HbHLDP-E60c7uNmXTvQFQ,돈까스틱,166,I,190,172,False,False,True,True
1,pi6eEfpYc2ZwixV70H7E4NxgpudQ5BpsF6hnBvj1jM37nhw,1201719,527,I,169,140,False,False,True,False
2,ZE8m1y4t4c6En5s5werYwse_Isdbhf0CF_XbqegzHNiyBjY,BAYAH,253,I,47,18,False,False,False,False
3,gwQqsA79ZEzZWwyWeuFYNwtN83V8xfP6E3o96CGznch1q3U,Medea Beliare,238,I,127,109,False,False,False,False
4,0DOTbmNrFcV9Li80sOdVuk9bHSTvVf17aXdMc33Ssap3d0U,reolreol,345,I,205,175,True,False,False,False
5,NQu3cqda8aSUybXqLm1x6TSeifHzh07OGv6-bfYOnnA_uw,이겨주세요오,169,I,160,142,False,False,True,True
6,PaK4UFe6WTEuxKWM--NfFaJOqxiup0qzgYxNkTarx4cVBQ,BJ갈배,279,I,373,360,False,False,True,False
7,SVBiwATgBfx1kQnOcBF31nqObVx2SGgcvylC79GagWalKQ,eren헌터,172,I,53,46,False,False,True,False
8,J0FG7G3dxPnwHhaENG_rIjEP83wgOQ13G7j_zbfhg5_1YA,Linghun shenghuo,196,I,120,97,False,False,False,False
9,WGUusl0ZlBMSzvxtsDtpsR-rT4pL6zvSY2pDNQIotWqcSw,CdCdCdCdCdCdCdCd,228,I,151,129,False,False,False,False
10,vK0yKc_4A6d893wOqQA1e-KhWAMDqZzwxEE5qxjxTxtcsg,DRX bubbling,237,I,177,163,False,False,True,False
11,Xl8nDWIXObESswwTuj8JHGKka-R5-k2BoL_oEpFSw8XKU8Y,재민슝슝,527,I,171,121,False,False,True,True
12,JOyT17cG1qs1NV75B71oQ8fSCf2sYrNqmKsp8hcMvSHwYbU,닉뭐해치치,199,I,160,149,False,False,True,True
13,bq626U5mUbn9ZnV4g1i-dEmXjivxBqQ9PyWduqxSOcdIog,나쁜말하면차단,424,I,234,227,False,False,False,False
14,x_6OTmqMJFgvt3pzjB3e96e4zJ64EF81wtNIZCKnXUoJNAw,Pz ZZang,165,I,67,60,False,False,True,False
15,lBFxRCYlQU40t8GBuQmL80DmgYxJq3X5hLbjXE4IYw4bt1M,안동푸른번개준현,211,I,315,304,False,False,False,False
16,u1ZtiEiBwRVE1RqZuAUh_g_bxFQLvPonWOgyVUY_R0FSHuo,Riss,200,I,97,72,False,False,True,True
17,mLmK0CGoKzyMtRx-xDgribD3-6fJbb-RwbADyiFRQd17iPE,하하나야,495,I,132,104,False,False,False,False
18,QceymICu4To-pBCPo9dvac6t90IvA-RfpfRB3aYD861AWzg,rqewhkjlafdsuc,181,I,133,108,False,False,True,False
19,ZcCSIDPAYRo_s5mnEziMdqbgz5u2k0vRPK8t-YuJ6mzODQ,T1 Roach,353,I,126,115,False,False,False,False
20,4Q2NLla-UZsOc81FOB69JGPflh5-2spaHQIzHaBqCTZ9cog,안녕 나는 쉐니,168,I,95,81,False,False,True,False
21,9eBNwLpvv5BRSyrE164pBVQ_gC-nw0M13i8mCM3rzbY7Cw,Eyes,265,I,221,242,False,False,False,False
