,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
0,nY2RBKj8vesM_iJ-_S1Z0810EGQUL8S7pFudarT1dxT2Tdk,Gondry47,153,I,136,108,False,False,True,False
1,80pCMQSyR9v36RdEsE4TPs6_rJWJHeStrgsORpPsw2Twdv8,조울증질병게임,29,I,113,82,False,False,True,False
2,oqoI4hOlxMMVUal-HIvIevOg66i-vZsriaV8Wo6lsBEGfw,Aphelios1,6,I,52,47,False,False,False,False
3,9RkHH2IUN03PJpX-Ixwt7uvKjQknmdSLiif0cmbFIVhB6G8,DRX OneZang,54,I,158,181,False,False,False,False
4,LGEoLMKWmLuEv0f8BSSgvrsQp_sRoRUjMOc2b0ct5hoRQw,매생이따러감,113,I,88,67,False,False,False,False
5,rQ6cqNPyNpxA9KwjzESzzJMkhw8Wj8SAHiJmYi_I46o2Ow,풉 메롱,92,I,70,47,False,False,True,False
6,NAEQVV6_Eg1wCGlraF6MXSAS5EpEwozbCeanpoLt7f4rzA,신 곤,99,I,137,127,False,False,False,False
7,SOJ_R8-FNNK5UY_QJnJ2ATZPuQNNZEHpXuP4fpzmIYF7T0U,뉴늅늅,0,I,84,69,False,False,False,True
8,3J728uESJXmoajZN6QGEIS89DyaYCbIlLF_IDZNG59gNZOE,sryz,79,I,199,154,False,False,False,True
9,KQfNppTboAj6P0U_j_tRkGFIxTGLFnnBJbYCCZjrwjKCCQ,제발쫄지좀마라,120,I,104,90,False,False,False,False
10,L8n2EHzimJarGuZzHiFMhMSisOPv_ksklSL1rz8cSipwgH0,fifth May,20,I,161,148,False,False,True,False
11,QwidglLzZEVCTv7vFM9Kh9k8HGY190NEiBc4rUXygJcj_x4,블랙 키리,0,I,170,167,False,False,False,False
12,zLrofav4LX2h_DdQtTtnNtzEDiI_foGi5vdDopGFXJLRhes,Bill Kiley,118,I,192,175,False,False,True,False
13,wRs3IWenMBvCyZyuw7sllnjceSKy2ykbKTDRZdcM_lbCxIo,안석우,2,I,44,32,False,False,False,False
14,D5vzTmIusEcciU9fyMQ0vJ_mXgzksPuJUsmU8TWUrpCTF_o,크리페,43,I,104,77,False,False,False,True
15,myuP3r1aDZcp8l7rfZiLkNJ0GkZOh1N0CCJdVllh_GnJsw,PLAYERMODES,33,I,127,109,False,False,True,False
16,Z3T6aMmAr5TfinrcgI6I8v7YvK9xTkxjVSW9tlBqD6yqhMk,비빔면은 두개,0,I,152,138,False,False,True,False
17,Bla1If3__ivwhGqLRwv2utMJr-giudVp76C-5WGdz0RovA0,Death ADC,35,I,247,234,False,False,True,False
18,jfHEPeLhVzFRQ07HuD68RUL9R9FgF2g8uX5HrN28Yuky6g,바텀의침착한사자,0,I,81,69,False,False,True,False
19,R2BX6-rHjTxHseS4K3wcZQzEKshMlxSCV91d1izSDUAysz4,danhancach,113,I,216,196,False,False,True,False
20,L3RJqE9_Va0zrs3mFgeoMtjpa6z1d-mM3v2z7swV5hVW-0E,서진욱,53,I,289,266,False,False,True,False
21,yBaSj_ibcVz3kH7o9gwQiKOnVJa57TaI11Sx_RO2gQi02G8,H0PE AGAIN,14,I,50,42,False,False,True,True
22,XuTIOjCiH9IBC3CAvrRDJjfhosZ_HWhGotJLDue2e54IsHE,겨울왕국3안나왕,50,I,118,106,False,False,False,False
23,GvxzGxdIfIafFcTZavzfqaj4uNIRSjzynlHm9EnvRxdiHmc,X1LANX1LANX1LAN,133,I,143,131,False,False,True,False
